用例ID,模块,用例标题,前置条件,测试步骤,预期结果,优先级,用例类型,测试标签
TC-FLOW-001,登录,验证正确用户名和密码可成功登录,用户已注册且未锁定,"1. 访问/login
2. 输入有效用户名 admin
3. 输入有效密码 Admin123
4. 点击登录按钮",登录成功，跳转至/home，页头显示用户名,P0,功能,安全测试
TC-FLOW-002,登录,验证错误密码登录失败且提示统一,用户已注册且未锁定,"1. 访问/login
2. 输入有效用户名
3. 输入错误密码
4. 点击登录按钮","登录失败，提示""用户名或密码错误""，不透露密码是错的",P0,功能,安全测试
TC-FLOW-003,登录,验证连续5次错误密码后账号锁定,账号未锁定且错误次数=0,"1. 重复5次输入错误密码并登录
2. 输入正确密码并登录","第5次后提示""账号已锁定，请30分钟后重试""，正确密码也无法登录",P0,功能,安全测试
TC-FLOW-004,登录,验证锁定30分钟后自动解锁,账号已锁定且已过30分钟,"1. 等待30分钟
2. 输入正确密码
3. 点击登录",登录成功，跳转至/home,P1,功能,
TC-FLOW-005,登录,验证已登录用户访问/login自动跳转,用户已成功登录且Session有效,"1. 在浏览器地址栏输入/login
2. 回车",自动跳转至/home，无需重新输入密码,P0,功能,
TC-FLOW-006,登录,验证Session过期后访问/login不跳转,Session已过期(超过30分钟),"1. 在浏览器地址栏输入/login
2. 回车",显示登录页，不跳转,P1,功能,
TC-FLOW-007,登录,验证勾选记住我后Session有效期7天,无有效Session,"1. 输入正确用户名密码
2. 勾选""记住我""
3. 点击登录
4. 关闭浏览器
5. 7天内重新打开并访问/login",自动跳转/home，无需重新登录,P0,功能,
TC-FLOW-008,登录,验证不勾选记住我时Session有效期30分钟,无有效Session,"1. 输入正确用户名密码
2. 不勾选""记住我""
3. 点击登录
4. 等待31分钟
5. 访问/home",跳转到/login，提示需要重新登录,P1,功能,
TC-PARAM-001,登录,验证用户名为空时的错误提示,位于登录页,"1. 用户名留空
2. 输入有效密码
3. 点击登录",提示请输入用户名,P1,负向,
TC-PARAM-002,登录,验证密码为空时的错误提示,位于登录页,"1. 输入有效用户名
2. 密码留空
3. 点击登录",提示请输入密码,P1,负向,
TC-DATA-001,登录,验证用户名小于4位时的错误提示,位于登录页,"1. 用户名输入 abc(3位)
2. 输入有效密码
3. 点击登录","提示""用户名或密码错误""",P2,负向,
TC-DATA-002,登录,验证用户名超过20位时的错误提示,位于登录页,"1. 用户名输入21位有效字符
2. 输入有效密码
3. 点击登录","提示""用户名或密码错误""",P2,负向,
TC-DATA-003,登录,验证用户名包含特殊字符时的处理,位于登录页,"1. 用户名输入 admin@#$
2. 输入有效密码
3. 点击登录","提示""用户名或密码错误""",P2,负向,
TC-DATA-004,登录,验证密码长度小于6位时的错误提示,位于登录页,"1. 输入有效用户名
2. 密码输入 Abc12(5位)
3. 点击登录","提示""用户名或密码错误""",P2,负向,
TC-DATA-005,登录,验证密码长度超过20位时的错误提示,位于登录页,"1. 输入有效用户名
2. 密码输入21位","提示""用户名或密码错误""",P2,负向,
TC-DATA-006,登录,验证密码不含大写字母时的处理,位于登录页,"1. 输入有效用户名
2. 密码输入 admin123(无大写)
3. 点击登录","提示""用户名或密码错误""",P2,负向,
TC-DATA-007,登录,验证密码不含小写字母时的处理,位于登录页,"1. 输入有效用户名
2. 密码输入 ADMIN123(无小写)
3. 点击登录","提示""用户名或密码错误""",P2,负向,
TC-DATA-008,登录,验证密码不含数字时的处理,位于登录页,"1. 输入有效用户名
2. 密码输入 AdminAbc(无数字)
3. 点击登录","提示""用户名或密码错误""",P2,负向,
TC-FLOW-009,登录,验证大小写不敏感的登录,用户已注册 admin,"1. 用户名输入 Admin
2. 输入正确密码
3. 点击登录",登录成功，跳转至/home,P0,功能,
TC-FLOW-010,登录,验证非注册用户登录的提示,用户名 unregistered 不存在,"1. 输入不存在的用户名
2. 输入任意密码
3. 点击登录","提示""用户名或密码错误""",P1,负向,
TC-EXT-001,登录,验证SQL注入防护,位于登录页,"1. 用户名输入 ' OR '1'='1
2. 密码输入 ' OR '1'='1
3. 点击登录","提示""用户名或密码错误""，数据库无异常",P0,安全,安全测试
TC-EXT-002,登录,验证XSS攻击防护,位于登录页,"1. 用户名输入 `<script>alert(1)</script>`
2. 密码输入 Admin123
3. 点击登录",页面不弹窗，内容被转义或过滤,P0,安全,安全测试
TC-EXT-003,登录,验证HTTPS传输加密,网络可抓包,"1. 使用HTTP访问/login
2. 尝试登录",请求自动重定向到HTTPS，密码明文不在HTTP中传输,P1,安全,安全测试
TC-EXT-004,登录,验证Token存储在HttpOnly Cookie,用户已成功登录,"1. 打开浏览器开发者工具
2. 查看Cookies
3. 用JS读取document.cookie",Cookie中无JWT Token且HttpOnly标记为true,P1,安全,安全测试
TC-FLOW-011,登录,验证暴力破解防护(锁定前4次),账号未锁定,"1. 连续4次输入错误密码
2. 输入正确密码并登录",第5次(正确密码)登录成功,P1,功能,安全测试
